               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036684,           0.0081145,           0.0051658,             0.56176,             0.89286,             0.91493,              0.4259,            0.029292,           0.0063684,           0.0035356,             0.00307,             0.00307,             0.00307
                  37,            0.035995,           0.0085819,           0.0042255,              0.4843,             0.89286,             0.82567,              0.3535,            0.033329,           0.0060469,           0.0037136,            0.002872,            0.002872,            0.002872
                  38,            0.033084,           0.0077831,           0.0038558,             0.51242,             0.88099,             0.81422,             0.28733,            0.028951,           0.0061478,           0.0037453,            0.002674,            0.002674,            0.002674
                  39,            0.034232,           0.0085038,            0.004739,             0.54424,             0.89286,             0.66637,             0.31909,            0.027062,           0.0061403,           0.0035528,            0.002476,            0.002476,            0.002476
                  40,            0.033375,           0.0078366,           0.0034948,             0.56805,             0.89286,             0.66985,             0.31289,            0.027656,           0.0060376,           0.0034409,            0.002278,            0.002278,            0.002278
                  41,            0.034697,           0.0080571,           0.0034664,              0.5826,             0.88708,             0.63166,             0.24925,            0.030742,           0.0057465,           0.0035395,             0.00208,             0.00208,             0.00208
                  42,            0.033452,           0.0079879,           0.0033043,              0.6511,             0.89286,             0.67354,             0.29175,            0.029107,           0.0057538,           0.0035221,            0.001882,            0.001882,            0.001882
                  43,            0.029989,           0.0076026,           0.0027114,             0.66242,             0.89286,             0.65781,             0.37515,            0.026064,           0.0057646,           0.0036111,            0.001684,            0.001684,            0.001684
                  44,            0.030105,           0.0073397,           0.0031355,             0.67192,             0.89286,             0.67476,             0.33538,            0.026435,           0.0056754,           0.0037849,            0.001486,            0.001486,            0.001486
                  45,            0.029603,           0.0078119,           0.0027612,             0.67853,             0.89286,             0.67657,             0.30637,            0.029802,           0.0054909,           0.0037749,            0.001288,            0.001288,            0.001288
                  46,            0.030028,           0.0073843,           0.0028378,             0.68073,             0.89286,             0.65847,             0.32684,            0.026172,           0.0055732,           0.0035444,             0.00109,             0.00109,             0.00109
                  47,            0.030533,           0.0070301,           0.0019381,             0.68692,             0.89286,             0.90728,              0.4751,            0.026227,           0.0055276,           0.0032346,            0.000892,            0.000892,            0.000892
                  48,            0.028063,           0.0076322,           0.0020699,             0.69171,             0.89286,             0.91114,             0.46426,            0.026032,            0.005514,           0.0028853,            0.000694,            0.000694,            0.000694
                  49,            0.026779,           0.0077507,           0.0026819,             0.70344,             0.89286,             0.91136,             0.48807,            0.026172,           0.0054611,           0.0026958,            0.000496,            0.000496,            0.000496
